uid,rest_id,source,text,rating
g_ChIJ47moWdBZwokR2Ud_ilXR05E_3,ChIJ47moWdBZwokR2Ud_ilXR05E,google_places,"We checked out this LES hot spot and left disappointed. The vibe and drinks were great, but the food was overpriced and underwhelming. The appetizers were especially bad — $30 for a few thin slices of salmon, and mussels that smelled so off we sent them back. The mains tasted better, but still weren’t worth it: a $95 12-oz steak and a $50 half chicken. Overall, great atmosphere but I wouldn’t recommend it for the food or value",2
g_ChIJ47moWdBZwokR2Ud_ilXR05E_4,ChIJ47moWdBZwokR2Ud_ilXR05E,google_places,"Absolutely incredible experience all around! Front of house staff feels like family, and the back of house boys really hold it down!!! Chefs counter is fab for any foodie looking to see the magic happen! The flavors and restaurant have really settled into this iconic neighborhood and look forward to all the new dishes on rotation! Perfect for a fun night with friends, a date, and especially anyone popping in from out of town! A must visit just as Michelin says!",5
g_ChIJUb901VlZwokRmb0kduVLllM_0,ChIJUb901VlZwokRmb0kduVLllM,google_places,"Had a delicious meal here recently. Our favorites: the buckwheat pancake with the smoked bluefish (absolutely delicious), the lobster roll, the monkfish with the kumquot, walnut and mint jams, the chicory salad (sublime). We also ordered the golden eye snapper with beets and yuzu (interesting but neither of us would order again). Do NOT pass up on the desserts. We ordered the celery ice cream float and the candied seaweed cake with licorice and citron - both amazing!!! In terms of ambiance, very nice - my only complaint is for the stools with no backs that are at the tables at the front. Not very comfortable. Fortunately they re-sat us at a much more comfortable table. Also big shout out to our server - super knowledgeable with good recommendations.",5
g_ChIJUb901VlZwokRmb0kduVLllM_1,ChIJUb901VlZwokRmb0kduVLllM,google_places,"I love this restaurant. Hard to describe-but amazing flavors. Everything was a revelation. Have never gone wrong with any choice—but the bbq mackerel is my go to. The celery float dessert is my new obsession.

The staff were gracious, helpful and willing to engage and ensure that our interests/adventures were realized. (I requested chop sticks to eat the bay scallops dish and the appeared!—I am sure they would have gone to the nearby take out to get them, but they had
some available from a recent ramen pop up.)

Extensive wine list and sommelier found us a bottle at our price point and delivered!

Funky under street level space. So nice to have a relaxing and fun meal without the pretentiousness that has become far too common.

(NYT review gets it so right)",5
g_ChIJUb901VlZwokRmb0kduVLllM_2,ChIJUb901VlZwokRmb0kduVLllM,google_places,"From the warm welcome when we arrived to the moment we left, this experience was not just about discovering a new restaurant – it was a true destination! Their specialty is fish, and even as someone who usually prefers meat, I completely changed my mind!

This restaurant comes close to excellence in every way — creativity, flavors, and presentation. Nothing is missing! The lentils with foie gras, for example, were absolutely delicious, the lobster roll possibly the best of my life and the donut dessert was simply divine.

Highly recommended — a must-try culinary gem!",5
g_ChIJUb901VlZwokRmb0kduVLllM_3,ChIJUb901VlZwokRmb0kduVLllM,google_places,"Loved this place. Food and service was solid.

The menu is thoughtful without trying too hard. The obvious favorite was the buckwheat pancake and crudo while the puntarelle salad was a pleasant surprise: fresh and crisp, a little bitter in the best way, and perfectly balanced.",5
g_ChIJUb901VlZwokRmb0kduVLllM_4,ChIJUb901VlZwokRmb0kduVLllM,google_places,"Such a lovely and unique restaurant! The service was wonderful and we tried a bunch of small plates. The bread with seaweed butter and the buckwheat pancake with smoke fish are not to be missed! We also loved the scallop with white asparagus and a dish with raw fish, peas and horseradish (I can't remember the fish). I really enjoyed the unique seafood preparations and flavor combinations. The dessert program is also very different. I love celery so had to get the celery float which was really fun. The apple cider donut was also a surprise, it had maybe citric acid in the sugar dusting? Every bite was a little sweet and a little tart, delicious. My only complaint was that the space is quite loud",5
g_ChIJzRCbxRVZwokRDAzYpDpbyG4_0,ChIJzRCbxRVZwokRDAzYpDpbyG4,google_places,"Love coming here! I have been here multiple times and the food and service is so amazing everytime. Our waitresses Jaycee and Sophia are soooo nice. They were so attentive and sweet, we had such a great experience because of them. 10/10 ⭐️",5
g_ChIJzRCbxRVZwokRDAzYpDpbyG4_1,ChIJzRCbxRVZwokRDAzYpDpbyG4,google_places,"This place is such a solid neighborhood spot. Everything we ordered was thoughtfully done and full of flavor.

The Pate and Bone was a great starter. The chicken liver mousse was smooth and rich, and the bone marrow with toasted baguette made it extra indulgent without being too heavy.

I really loved the Pomelo Salad. It was fresh and bright, with grilled shrimp and a nice balance of citrus, herbs, and a slightly spicy tamarind dressing. Super refreshing, especially with the crispy rice cracker.

The Wagyu Pho was excellent. The broth was fragrant and well seasoned, and the wagyu was incredibly tender and comforting.

We finished with the avocado coconut ice cream, which was light, creamy, and not overly sweet. The crispy sliced banana a really nice texture.

Comfortable, well-executed food. Definitely a spot I’d come back to.",5
g_ChIJzRCbxRVZwokRDAzYpDpbyG4_2,ChIJzRCbxRVZwokRDAzYpDpbyG4,google_places,"This was my first time trying Vietnamese cuisine, and overall it was a great experience, I’d definitely come back. Went for lunch without a reservation and waited about 10 minutes, which wasn’t bad. The restaurant is nicely decorated and feels warm and welcoming. Staff were very attentive and friendly.

As a welcome snack, they served rice crackers with a spicy paste (not sure of the name), which tasted really good. We ordered the tofu and mushroom banh mi and the crab fried rice. The banh mi is a good shareable option, though it could use a bit more sauce to enhance the flavors since tofu can be on the milder side. It came with a house truffle soup on the side, which was absolutely delicious.

The crab fried rice, however, had an unusual smell and taste, possibly from the way the egg and crab were cooked together. We’ve had this dish elsewhere without any issues, so this stood out.

Despite that, I’d still like to return and try other items on the menu.",4
